user_ID,video_ID,video_name,rating_type,rating,timestamp
7,4,['videos\\music\\lestwins_report.2010-09-30_1113CEST_R1-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-19 12:16:16 345708
7,4,['videos\\music\\lestwins_report.2010-09-30_1113CEST_R1-V0-A1-UP0-SD4.mkv'],stalling,on,2023-10-19 12:16:16 345708
7,4,['videos\\music\\lestwins_report.2010-09-30_1113CEST_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-19 12:16:16 345708
7,4,['videos\\music\\lestwins_report.2010-09-30_1113CEST_R1-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-19 12:16:16 345708
7,4,['videos\\music\\lestwins_report.2010-09-30_1113CEST_R1-V0-A1-UP0-SD4.mkv'],artifacts,on,2023-10-19 12:16:16 345708
7,4,['videos\\music\\lestwins_report.2010-09-30_1113CEST_R1-V0-A1-UP0-SD4.mkv'],uniteresting_content,on,2023-10-19 12:16:16 345708
7,4,['videos\\music\\lestwins_report.2010-09-30_1113CEST_R1-V0-A1-UP0-SD4.mkv'],stop_watching,on,2023-10-19 12:16:16 345708
7,5,['videos\\news\\fox_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],radio,5,2023-10-19 12:22:13 585519
7,5,['videos\\news\\fox_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],uniteresting_content,on,2023-10-19 12:22:13 585519
7,5,['videos\\news\\fox_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],stop_watching,on,2023-10-19 12:22:13 585519
7,6,['videos\\sport\\tycr7_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],radio,3,2023-10-19 12:27:53 814231
7,6,['videos\\sport\\tycr7_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-19 12:27:53 814231
7,6,['videos\\sport\\tycr7_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],artifacts,on,2023-10-19 12:27:53 814231
8,0,['videos\\animated\\penc_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],radio,4,2023-10-19 16:40:14 583298
8,0,['videos\\animated\\penc_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-19 16:40:14 583298
8,0,['videos\\animated\\penc_vodafone_IE_2019.02.26_17.47.50_R1-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-19 16:40:14 583298
8,1,['videos\\documentary\\spreader_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-19 16:41:31 447559
8,1,['videos\\documentary\\spreader_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-19 16:41:31 447559
8,1,['videos\\documentary\\spreader_report.2010-09-30_1113CEST_R3-V0-A1-UP0-SD4.mkv'],artifacts,on,2023-10-19 16:41:31 447559
8,2,['videos\\gaming\\pocket_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],radio,3,2023-10-19 16:42:46 604879
8,2,['videos\\gaming\\pocket_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-19 16:42:46 604879
8,3,['videos\\movie\\terminator_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-19 16:44:25 642780
8,3,['videos\\movie\\terminator_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],res_switches,on,2023-10-19 16:44:25 642780
8,3,['videos\\movie\\terminator_report.2011-01-29_1800CET_R1-V0-A1-UP0-SD4.mkv'],pixelization,on,2023-10-19 16:44:25 642780
8,4,['videos\\music\\rmoff_A_2017.12.11_10.00.59_R1-V0-A1-UP0-SD4.mkv'],radio,2,2023-10-19 16:47:37 119338
